FMTNAME,START,LABEL
I94CNTYL,0,INVALID: STATELESS
I94CNTYL,54,No Country Code (54)
I94CNTYL,100,No Country Code (100)
I94CNTYL,101,ALBANIA
I94CNTYL,102,ANDORRA
I94CNTYL,103,AUSTRIA
I94CNTYL,104,BELGIUM
I94CNTYL,105,BULGARIA
I94CNTYL,106,INVALID: CZECHOSLOVAKIA
I94CNTYL,107,POLAND
I94CNTYL,108,DENMARK
I94CNTYL,109,ESTONIA
I94CNTYL,110,FINLAND
I94CNTYL,111,FRANCE
I94CNTYL,112,GERMANY
I94CNTYL,113,GREECE
I94CNTYL,114,HUNGARY
I94CNTYL,115,ICELAND
I94CNTYL,116,IRELAND
I94CNTYL,117,ITALY
I94CNTYL,118,LATVIA
I94CNTYL,119,LIECHTENSTEIN
I94CNTYL,120,LITHUANIA
I94CNTYL,121,LUXEMBOURG
I94CNTYL,122,MONACO
I94CNTYL,123,NETHERLANDS
I94CNTYL,124,NORWAY
I94CNTYL,126,PORTUGAL
I94CNTYL,127,ROMANIA
I94CNTYL,128,SAN MARINO
I94CNTYL,129,SPAIN
I94CNTYL,130,SWEDEN
I94CNTYL,131,SWITZERLAND
I94CNTYL,134,INVALID: USSR
I94CNTYL,135,UNITED KINGDOM
I94CNTYL,139,YUGOSLAVIA
I94CNTYL,140,CZECH REPUBLIC
I94CNTYL,141,SLOVAKIA
I94CNTYL,142,SERBIA AND MONTENEGRO
I94CNTYL,143,GIBRALTAR
I94CNTYL,145,MALTA
I94CNTYL,149,HOLY SEE/VATICAN
I94CNTYL,151,ARMENIA
I94CNTYL,152,AZERBAIJAN
I94CNTYL,153,BELARUS
I94CNTYL,154,GEORGIA
I94CNTYL,155,KAZAKHSTAN
I94CNTYL,156,KYRGYZSTAN
I94CNTYL,157,MOLDOVA
I94CNTYL,158,RUSSIA
I94CNTYL,159,TAJIKISTAN
I94CNTYL,161,TURKMENISTAN
I94CNTYL,162,UKRAINE
I94CNTYL,163,UZBEKISTAN
I94CNTYL,164,BOSNIA-HERZEGOVINA
I94CNTYL,165,CROATIA
I94CNTYL,166,SLOVENIA
I94CNTYL,167,MACEDONIA
I94CNTYL,187,No Country Code (187)
I94CNTYL,190,No Country Code (190)
I94CNTYL,200,No Country Code (200)
I94CNTYL,201,KAMPUCHEA
I94CNTYL,203,LAOS
I94CNTYL,204,INDONESIA
I94CNTYL,206,HONG KONG
I94CNTYL,207,SINGAPORE
I94CNTYL,209,JAPAN
I94CNTYL,213,INDIA
I94CNTYL,214,MACAU
I94CNTYL,216,YEMEN
I94CNTYL,217,BRUNEI
I94CNTYL,218,CYPRUS
I94CNTYL,219,No Country Code (219)
I94CNTYL,220,MALDIVES
I94CNTYL,236,AFGHANISTAN
I94CNTYL,238,No Country Code (238)
I94CNTYL,239,INVALID: UNKNOWN COUNTRY
